"Project Code","Station ID","Sample ID","First Trigger Date","Collection_Date","Sample Type New","Collection Method","Depth","Depth Unit","Matrix","Test Number","Test Name","Storet Code","Method","Measure Date","Value","Sigfig Value","Uncertainty","MDL","PQL","RDL","Units","Remark Code","Flag","Receive Date","LIMS Number","Collection Agency","Source","Owner","Validation Level","Validator","Sampling Purpose","Data Investigation","T Depth","Upper Depth","Lower Depth","DCS(METERS)","Filtration Date","Sample Type","QC Type","Discharge","Up/Down Stream","Weather Code","Program Type","NDEC","Sample Comments","Result Comments"
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","89","CARBON, DISSOLVED ORGANIC","","","","11.1","11.1","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","1","",""
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","20","AMMONIA-N","","","",".02","0.02","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","2","",""
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","7","Temperature","","","","21.1","21.1","","","","","Deg C","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","1","",""
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","8","DISSOLVED OXYGEN","","","","5.1","5.10","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","2","",""
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","9","SP CONDUCTIVITY, FIELD","","","","700","700","","","","","uS/cm","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","0","",""
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","10","PH, FIELD","","","","7.6","7.60","","","","","None","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","2","",""
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","18","NITRATE+NITRITE-N","","","",".015","0.015","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","3","",""
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","19","NITRITE-N","","","",".005","0.005","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","3","",""
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","21","KJELDAHL NITROGEN, TOTAL","","","","1.04","1.0","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","1","",""
"CAMB","L28I","0016","","07-DEC-1977 11:50","SAMP","G","0.00","","SW","23","PHOSPHATE, ORTHO AS P","","","",".014","0.014","","","","","mg/L","","","","","","WMD","WMD","","","","","","","","","","19","","0","0","1","MON","3","",""
